step, time, x, y, vx, vy, ax, ay
0, 0, 0, 6779000, 9958, 0, -0,-8.673497445024346
1, 1, 9958, 6778991.326502555, 9958, -8.673497445024346, -0.012740926320281409,-8.673491566257862
2, 2, 19915.987259073678, 6778973.979513544, 9957.98725907368, -17.346989011282208, -0.025481784525502076,-8.673451735175686
3, 3, 29873.949036362832, 6778947.959072798, 9957.961777289154, -26.020440746457894, -0.038222457597441896,-8.673377952326849
4, 4, 39831.87259119439, 6778913.265254099, 9957.923554831557, -34.69381869878474, -0.0509628285222905,-8.67327021880961
5, 5, 49789.745183197425, 6778869.898165181, 9957.872592003036, -43.367088917594344, -0.06370278029365276,-8.673128536271435
6, 6, 59747.55407242017, 6778817.857947728, 9957.808889222742, -52.04021745386578, -0.07644219591555351,-8.672952906908897
7, 7, 69705.28651944699, 6778757.144777367, 9957.732447026827, -60.713170360774676, -0.08918095840544238,-8.67274333346764
8, 8, 79662.92978551541, 6778687.758863673, 9957.643266068422, -69.38591369424232, -0.1019189507971974,-8.672499819242256
9, 9, 89620.47113263304, 6778609.700450159, 9957.541347117625, -78.05841351348458, -0.11465605614412827,-8.67222236807618
10, 10, 99577.89782369453, 6778522.969814277, 9957.42669106148, -86.73063588156076, -0.12739215752197783,-8.671910984361517
11, 11, 109535.19712259849, 6778427.567267411, 9957.29929890396, -95.40254686592228, -0.14012713803192361,-8.671565673038922
12, 12, 119492.35629436442, 6778323.493154872, 9957.159171765927, -104.0741125389612, -0.15286088080357738,-8.671186439597411
13, 13, 129449.36260524954, 6778210.747855893, 9957.006310885123, -112.74529897855861, -0.16559326899798274,-8.67077329007413
14, 14, 139406.20332286565, 6778089.331783624, 9956.840717616125, -121.41607226863275, -0.17832418581061263,-8.670326231054178
15, 15, 149362.86571629596, 6777959.245385124, 9956.662393430315, -130.08639849968694, -0.19105351447436342,-8.669845269670322
16, 16, 159319.3370562118, 6777820.489141355, 9956.47133991584, -138.75624376935727, -0.2037811382625488,-8.669330413602788
17, 17, 169275.6046149894, 6777673.063567173, 9956.267558777578, -147.42557418296005, -0.2165069404918898,-8.66878167107892
18, 18, 179231.65566682647, 6777516.9692113185, 9956.051051837085, -156.09435585403898, -0.22923080452550457,-8.668199050872936
19, 19, 189187.47748785903, 6777352.206656413, 9955.82182103256, -164.76255490491192, -0.24195261377589422,-8.667582562305565
20, 20, 199143.0573562778, 6777178.776518946, 9955.579868418783, -173.4301374672175, -0.2546722517079271,-8.666932215243733
21, 21, 209098.38255244488, 6776996.679449263, 9955.325196167076, -182.0970696824612, -0.26738960184182003,-8.666248020100179
22, 22, 219053.4403590101, 6776805.916131561, 9955.057806565233, -190.76331770256138, -0.28010454775611704,-8.66552998783309
23, 23, 229008.21806102758, 6776606.487283871, 9954.777702017478, -199.42884769039446, -0.29281697309066507,-8.664778129945699
24, 24, 238962.70294607198, 6776398.39365805, 9954.484885044387, -208.09362582034015, -0.30552676154958636,-8.663992458485856
25, 25, 248916.8823043548, 6776181.636039771, 9954.179358282838, -216.75761827882602, -0.31823379690424847,-8.6631729860456
26, 26, 258870.74342884074, 6775956.2152485065, 9953.861124485933, -225.4207912648716, -0.33093796299622896,-8.662319725760677
27, 27, 268824.2736153637, 6775722.132137516, 9953.530186522938, -234.0831109906323, -0.34363914374027954,-8.66143269131008
28, 28, 278777.4601627429, 6775479.387593834, 9953.186547379197, -242.74454368194236, -0.3563372231272832,-8.660511896915539
29, 29, 288730.2903728989, 6775227.982538255, 9952.83021015607, -251.4050555788579, -0.3690320852272106,-8.659557357340997
30, 30, 298682.7515509698, 6774967.917925319, 9952.461178070842, -260.0646129361989, -0.38172361419207046,-8.658569087892086
31, 31, 308634.8310054264, 6774699.194743294, 9952.07945445665, -268.723182024091, -0.3944116942588563,-8.657547104415551
32, 32, 318586.5160481888, 6774421.814014166, 9951.685042762392, -277.3807291285065, -0.40709620975248917,-8.656491423298665
33, 33, 328537.7939947414, 6774135.776793614, 9951.27794655264, -286.0372205518052, -0.4197770450887564,-8.655402061468662
34, 34, 338488.6521642489, 6773841.084171001, 9950.858169507552, -294.69262261327384, -0.4324540847772445,-8.654279036392074
35, 35, 348439.0778796717, 6773537.737269351, 9950.425715422774, -303.34690164966594, -0.44512721342426936,-8.653122366074143
36, 36, 358389.05846788106, 6773225.737245335, 9949.98058820935, -312.0000240157401, -0.45779631573579865,-8.651932069058113
37, 37, 368338.5812597747, 6772905.08528925, 9949.522791893614, -320.6519560847982, -0.47046127652037234,-8.650708164424586
38, 38, 378287.6335903918, 6772575.782625001, 9949.052330617094, -329.3026642492228, -0.4831219806920161,-8.649450671790815
39, 39, 388236.2027990282, 6772237.83051008, 9948.569208636402, -337.9521149210136, -0.49577831327315036,-8.64815961130998
